time point	time (ms)
1256	412.5977
1257	413.0859
1258	413.5742
1259	414.0625
1260	414.5508
1261	415.0391
1262	415.5273
1263	416.0156
1264	416.5039
1265	416.9922
1266	417.4805
1267	417.9688
1268	418.457
1269	418.9453
1270	419.4336
1271	419.9219
1272	420.4102
1273	420.8984
1274	421.3867
1275	421.875
1276	422.3633
1277	422.8516
1278	423.3398
1279	423.8281
1280	424.3164
1281	424.8047
1282	425.293
1283	425.7813
1284	426.2695
1285	426.7578
1286	427.2461
1287	427.7344
1288	428.2227
1289	428.7109
1290	429.1992
1291	429.6875
1292	430.1758
1293	430.6641
1294	431.1523
1295	431.6406
1296	432.1289
1297	432.6172
1298	433.1055
1299	433.5938
1300	434.082
1301	434.5703
1302	435.0586
1303	435.5469
1304	436.0352
1305	436.5234
1306	437.0117
1307	437.5
1308	437.9883
1309	438.4766
1310	438.9648
1311	439.4531
1312	439.9414
1313	440.4297
1314	440.918
1315	441.4063
1316	441.8945
1317	442.3828
1318	442.8711
1319	443.3594
1320	443.8477
1321	444.3359
1322	444.8242
1323	445.3125
1324	445.8008
1325	446.2891
1326	446.7773
1327	447.2656
1328	447.7539
1329	448.2422
1330	448.7305
1331	449.2188
1332	449.707
1333	450.1953
1334	450.6836
1335	451.1719
1336	451.6602
1337	452.1484
1338	452.6367
1339	453.125
1340	453.6133
1341	454.1016
1342	454.5898
1343	455.0781
1344	455.5664
1345	456.0547
1346	456.543
1347	457.0313
1348	457.5195
1349	458.0078
1350	458.4961
1351	458.9844
1352	459.4727
1353	459.9609
1354	460.4492
1355	460.9375
1356	461.4258
1357	461.9141
1358	462.4023
1359	462.8906
1360	463.3789
1361	463.8672
1362	464.3555
1363	464.8438
1364	465.332
1365	465.8203
1366	466.3086
1367	466.7969
1368	467.2852
1369	467.7734
1370	468.2617
1371	468.75
1372	469.2383
1373	469.7266
1374	470.2148
1375	470.7031
1376	471.1914
1377	471.6797
1378	472.168
1379	472.6563
1380	473.1445
1381	473.6328
1382	474.1211
1383	474.6094
1384	475.0977
1385	475.5859
1386	476.0742
1387	476.5625
1388	477.0508
1389	477.5391
1390	478.0273
1391	478.5156
1392	479.0039
1393	479.4922
1394	479.9805
1395	480.4688
1396	480.957
1397	481.4453
1398	481.9336
1399	482.4219
1400	482.9102
1401	483.3984
1402	483.8867
1403	484.375
1404	484.8633
1405	485.3516
1406	485.8398
1407	486.3281
1408	486.8164
1409	487.3047
1410	487.793
1411	488.2813
1412	488.7695
1413	489.2578
1414	489.7461
1415	490.2344
1416	490.7227
1417	491.2109
1418	491.6992
1419	492.1875
1420	492.6758
1421	493.1641
1422	493.6523
1423	494.1406
1424	494.6289
1425	495.1172
1426	495.6055
1427	496.0938
1428	496.582
1429	497.0703
1430	497.5586
1431	498.0469
1432	498.5352
1433	499.0234
1434	499.5117
1435	500
1436	500.4883
1437	500.9766
1438	501.4648
1439	501.9531
1440	502.4414
1441	502.9297
1442	503.418
1443	503.9063
1444	504.3945
1445	504.8828
1446	505.3711
1447	505.8594
1448	506.3477
1449	506.8359
1450	507.3242
1451	507.8125
1452	508.3008
1453	508.7891
1454	509.2773
1455	509.7656
1456	510.2539
1457	510.7422
1458	511.2305
1459	511.7188
1460	512.207
1461	512.6953
1462	513.1836
1463	513.6719
1464	514.1602
1465	514.6484
1466	515.1367
1467	515.625
1468	516.1133
1469	516.6016
1470	517.0898
1471	517.5781
1472	518.0664
1473	518.5547
1474	519.043
1475	519.5313
1476	520.0195
1477	520.5078
1478	520.9961
1479	521.4844
1480	521.9727
1481	522.4609
1482	522.9492
1483	523.4375
1484	523.9258
1485	524.4141
1486	524.9023
1487	525.3906
1488	525.8789
1489	526.3672
1490	526.8555
1491	527.3438
1492	527.832
1493	528.3203
1494	528.8086
1495	529.2969
1496	529.7852
1497	530.2734
1498	530.7617
1499	531.25
1500	531.7383
1501	532.2266
1502	532.7148
1503	533.2031
1504	533.6914
1505	534.1797
1506	534.668
1507	535.1563
1508	535.6445
1509	536.1328
1510	536.6211
1511	537.1094
1512	537.5977
1513	538.0859
1514	538.5742
1515	539.0625
1516	539.5508
1517	540.0391
1518	540.5273
1519	541.0156
1520	541.5039
1521	541.9922
1522	542.4805
1523	542.9688
1524	543.457
1525	543.9453
1526	544.4336
1527	544.9219
1528	545.4102
1529	545.8984
1530	546.3867
1531	546.875
1532	547.3633
1533	547.8516
1534	548.3398
1535	548.8281
1536	549.3164
1537	549.8047
1538	550.293
1539	550.7813
1540	551.2695
1541	551.7578
1542	552.2461
1543	552.7344
1544	553.2227
1545	553.7109
1546	554.1992
1547	554.6875
1548	555.1758
1549	555.6641
1550	556.1523
1551	556.6406
1552	557.1289
1553	557.6172
1554	558.1055
1555	558.5938
1556	559.082
1557	559.5703
1558	560.0586
1559	560.5469
1560	561.0352
1561	561.5234
1562	562.0117
1563	562.5
